"72","Riding to the second day #isc2summits in The Hague #infosec #cybercrime",FALSE,0,NA,2019-04-16 05:08:04,FALSE,NA,"1118018197796589571",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Jvdweerd",0,FALSE,FALSE,NA,NA
"73","#cybersecurity in an #IoT and #Mobileworld #cybercrime #cybersafety #websecurity #cloudsecurity #MobileSecurity…",FALSE,0,NA,2019-04-16 05:06:47,TRUE,NA,"1118017875241947137",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Bharath_369",3,FALSE,FALSE,NA,NA
"74","How will #Blockchain revolutionize the supply chain? #cybercrime #cybersafety #websecurity #cloudsecurity…",FALSE,0,NA,2019-04-16 05:04:51,TRUE,NA,"1118017385305231360",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Bharath_369",0,FALSE,FALSE,NA,NA
"75","Cyber security 2020 #cybercrime #cybersafety #websecurity #cloudsecurity #MobileSecurity #socialmediasecurity…",FALSE,1,NA,2019-04-16 05:02:33,TRUE,NA,"1118016809720881152",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Bharath_369",3,FALSE,FALSE,NA,NA
"76","Install anti-virus protection Only install an anti-virus program from a known and trusted source. Keep virus def…",FALSE,1,NA,2019-04-16 05:01:00,TRUE,NA,"1118016417448775682",NA,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","cyberpcso",3,FALSE,FALSE,NA,NA
"77","Protect your personal &amp; financial information. What does not appear to be important to you, it might be important…",FALSE,0,NA,2019-04-16 05:00:00,TRUE,NA,"1118016166503624705",NA,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","WarksBusiness",0,FALSE,FALSE,NA,NA
"78","Intro to #Python Basics #cybercrime #cybersafety #websecurity #cloudsecurity #MobileSecurity #socialmediasecurity…",FALSE,1,NA,2019-04-16 04:59:53,TRUE,NA,"1118016138791677953",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Bharath_369",1,FALSE,FALSE,NA,NA
"79","Traditional PC Vs CloudComputer #cybercrime #cybersafety #websecurity #cloudsecurity #MobileSecurity…",FALSE,1,NA,2019-04-16 04:58:39,TRUE,NA,"1118015828236963840",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Bharath_369",1,FALSE,FALSE,NA,NA
"80","Are You #Cybersafe #ML #AI #IoT #DataScience #Startup #Fintech #BigData #Tech #Technology #DataAnalytics…",FALSE,1,NA,2019-04-16 04:50:05,TRUE,NA,"1118013670099808256",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Bharath_369",1,FALSE,FALSE,NA,NA
"81","SocialEngineering #Cybersecurity #ML #AI #IoT #DataScience #Startup #Fintech #BigData #Tech #Technology…",FALSE,1,NA,2019-04-16 04:49:19,TRUE,NA,"1118013476905992192",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Bharath_369",1,FALSE,FALSE,NA,NA
"82","What is the #cyber kill chain ? RT @Bharath_369 #CyberSecurity #cybersecurite #Security #securite #Hacking…",FALSE,0,NA,2019-04-16 04:49:01,TRUE,NA,"1118013400720785409",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","GOGLINJF",1,FALSE,FALSE,NA,NA
"83","#Iot attacks #CyberSecurity #ML #AI #IoT #DataScience #Startup #Fintech #BigData #Tech #Technology #DataAnalytics…",FALSE,1,NA,2019-04-16 04:47:52,TRUE,NA,"1118013112672636928",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Bharath_369",0,FALSE,FALSE,NA,NA
"84","#cybersecurity Awareness 2020 #CyberSecurity #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #BigData #Tech…",FALSE,6,NA,2019-04-16 04:44:41,TRUE,NA,"1118012310453276672",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Bharath_369",3,FALSE,FALSE,NA,NA
"85","Our Free #CyberSecurity Trends eMagazine is a quarterly magazine that aims to increase awareness of the growing…",FALSE,0,NA,2019-04-16 04:44:05,TRUE,NA,"1118012160909688832",NA,"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>","icybersecurity_",0,FALSE,FALSE,NA,NA
"86","And I still find #infosec people telling me that #cyberintel is not neededed! Do you agree? I thing you fight…",FALSE,5,NA,2019-04-16 04:43:42,TRUE,NA,"1118012066567262208",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JinibaBD",5,FALSE,FALSE,NA,NA
