no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,
62,Follow @CDCFlu for #fluseason updates and tips to protect yourself and your family from #flu.…,FALSE,42,NA,3/4/19 18:27,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",CDCgov,29,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
63,"#DidYouKnow that there's new technology available to help diagnose the flu faster? Find out more about it, plus mor…",FALSE,1,NA,3/4/19 18:21,TRUE,NA,1.10E+18,NA,"<a href=\https://coschedule.com\"" rel=\""nofollow\"">CoSchedule</a>""",faithhealthhome,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
64,"FMA preferred vendor @FloridaRXCard could save your patients up to 75% on prescription medications at 68,000-plus r…",FALSE,2,NA,3/4/19 18:02,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",FloridaMedical,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
65,The latest CDC flu forecast predicts that the #flu is peaking and will continue this month. Here's what patients ca…,FALSE,0,NA,3/4/19 17:45,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",TVoxSolutions,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
66,How many teachers and school staff need this contraption #fluseason,FALSE,4,NA,3/4/19 17:37,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",TcamSky,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
67,Spot flu symptoms in kids and know your treatment options. #flushot #fluseason #flu,FALSE,0,NA,3/4/19 17:09,FALSE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",ParkNicollet,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
68,"Now that September is here, flu season is right around the corner. If you happen to come down with a bug this winte…",FALSE,0,NA,3/4/19 17:01,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",bolling_md,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
69,"While flu season is beginning to wind down, you're still susceptible to contracting it. You can also usually tell i…",FALSE,0,NA,3/4/19 17:01,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",georgesjabalymd,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
70,#MondayMotivation: Beat the #Flu in the office this #FluSeason with these expert tips:,FALSE,0,NA,3/4/19 17:00,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",RockfordMutual,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
71,"Some flu vaccines are made with a bit of egg protein, so those with an egg allergy shouldn't seek out this vaccine.…",FALSE,0,NA,3/4/19 16:58,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",StMichaelsER,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
72,.@BGOV @business The Flu Is Spreading Across America a Little Later This Season @FayCortez…,FALSE,0,NA,3/4/19 15:54,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",phsu54,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
73,When you’re at the dr office for routine labs and you’re asked to wear a mask. Room full of people with masks!…,FALSE,2,NA,3/4/19 15:35,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",CampobelloCathy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
74,"Add strep to the flu, because this girl has both #wintersucks #fluseason",FALSE,0,NA,3/4/19 15:35,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",danifit_nh,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
75,"Both my little man and I are down #sosick taking turns praying to the porcelain \god\"" not sure what we did to deser…""",FALSE,0,NA,3/4/19 15:26,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",badassinahat,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
77,The #fluseason shows signs of peaking. Get the details:,FALSE,0,NA,3/4/19 14:00,FALSE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",MDedgeIntMed,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
