no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
193,How to Avoid a Brutal Flu Season Like Last Year - visit your local GoHealth Urgent Care cen…,FALSE,1,NA,2/25/19 14:44,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",GoHealthUC,1,FALSE,FALSE,NA,NA,
194,@jessphoenix2018 According to a scientific study the DTP vaccine increased child death 1000%. Another scientific st…,FALSE,0,jessphoenix2018,2/25/19 14:35,TRUE,1.10E+18,1.10E+18,8.43E+17,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
195,"Are there any viral epidemiologists, or other vaccine experts who can answer a question for me on the flu vaccine?…",FALSE,0,NA,2/25/19 14:11,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",KBNovaStarr,0,FALSE,FALSE,NA,NA,
196,It’s not too late to get your #flushot! Stop by our pharmacy today.,FALSE,0,NA,2/25/19 14:01,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",Acton_Pharmacy,0,FALSE,FALSE,NA,NA,
199,Flu News You Need To Know! #UrgentCare #health #NY #Bronx #Brooklyn…,FALSE,1,NA,2/25/19 13:00,TRUE,NA,1.10E+18,NA,"<a href=\https://eclincher.com\"" rel=\""nofollow\"">eClincher</a>""",statcare,0,FALSE,FALSE,NA,NA,
200,I take my #FluShot twice a week with 100% juices and some #water. These #healingherbsandspices naturally boost the…,FALSE,1,NA,2/25/19 11:53,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",innermosttree,0,FALSE,FALSE,NA,NA,
202,Flu Shot Warning! Watch This Before Getting One! #flu #fluvaccine #vaccine…,FALSE,0,NA,2/25/19 5:50,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",ihealthtube,0,FALSE,FALSE,NA,NA,
204,Congrats to Alfonso Cuaron for winning Best Director and catching the flu from his presenter. #AcademyAwards19…,FALSE,2,NA,2/25/19 4:11,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",KeroseneDrifter,0,FALSE,FALSE,NA,NA,
205,"#Fluseason is among us, and if you did not get a #flushot and have come down with the nasty flu… be “seen” by our…",FALSE,1,NA,2/24/19 23:00,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",GOeVisit,0,FALSE,FALSE,NA,NA,
206,Get ahead on flu season by checking out these preventive tips: #flu #fluseason…,FALSE,0,NA,2/24/19 23:00,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",PatientFirst,0,FALSE,FALSE,NA,NA,
207,"“Baby germs, great now we’re all going to get sick.” (Carisi, S20 E16) #SVU #SVUOneLiner #Carisi…",FALSE,5,NA,2/24/19 22:48,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",SVUOneLiner,2,FALSE,FALSE,NA,NA,
209,"If the threat of going into this isn’t enough to make you get a flu shot, I don’t know what is 🤷🏼‍♀️…",FALSE,5,NA,2/24/19 20:48,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",KickAsana,2,FALSE,FALSE,NA,NA,
210,50 minutes so far at the gate on a tiny plane at Chicago O’Hare. People coughing all around me. Thinking I’m going…,FALSE,21,NA,2/24/19 20:44,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",greenhousemd,0,FALSE,FALSE,NA,NA,
213,@PressToDigitate @TheSolariReport Most of the heavy metals in your diet are eliminated quickly. When the aluminum n…,FALSE,2,PressToDigitate,2/24/19 20:07,TRUE,1.10E+18,1.10E+18,17450017,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,1,FALSE,FALSE,NA,NA,
214,"@desk_in_corner @patrick_layton Amazing that a press release from UC Davis is declared \sensitive material\"" by…""",FALSE,4,desk_in_corner,2/24/19 19:41,TRUE,1.10E+18,1.10E+18,3383257013,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",HighWireTalk,2,FALSE,FALSE,NA,NA,
215,"If you do not get the flu vaccine and become hospitalized, the chance of spreading the flu to other patients inside…",FALSE,3,NA,2/24/19 19:02,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",Nicklaus4Kids,3,FALSE,FALSE,NA,NA,
217,#VaxFactsFebruary d24! Black children are significantly less likely to receive a #FluShot than white children. Flu…,FALSE,12,NA,2/24/19 15:31,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",drfixus,8,FALSE,FALSE,NA,NA,
218,@boglethemind @nrskim @Dubai_allergy @HislopMD Scientific studies show that the aluminum from vaccines migrates to…,FALSE,1,boglethemind,2/24/19 14:22,TRUE,1.10E+18,1.10E+18,4611508512,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
219,"@realiwasframed @takeatoothbrush @MrsAmes84 @DocBastard @HonestMum Thanks to you, I now know to go back to sleep, a…",FALSE,0,CoercedTaxSlave,2/24/19 14:16,TRUE,1.10E+18,1.10E+18,32517621,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
220,@realiwasframed @takeatoothbrush @MrsAmes84 @DocBastard @HonestMum The CDC study that showed flu vaccine increased…,FALSE,0,CoercedTaxSlave,2/24/19 14:12,TRUE,1.10E+18,1.10E+18,32517621,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
