no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,,,,,,
73,The speed of the Spanish 🇪🇸🎾📸 . . . #rafa #nadal #rafanadal #spain #niketennis #spanish #blur #shot #serve #tennis…,FALSE,0,NA,3/4/19 17:50,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",UKTennisMag,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
74,#MondaySelfie #Mirrorselfie #FOTD #fun #funky #shot ☁️😎 #OOTD : #hellokitty #shirt X #light #blue #shorts X #black…,FALSE,0,NA,3/4/19 17:09,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",milky_carly,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
75,"ruth.broder.ginsburg #johnnycash #portrait #progress #shot from a while back, and never posted... ##skaercity…",FALSE,1,NA,3/4/19 17:00,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",skaer_city,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
76,"In fact, my soul and yours are the same, You appear in me, I in you, We hide in each other..... :~)Rumi #sunset_ig…",FALSE,0,NA,3/4/19 16:31,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",roserebina,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
77,"#cops who fatally #shot Stephon Clark, an unarmed black man, last year will not face criminal charges",FALSE,0,NA,3/4/19 15:57,FALSE,NA,1.10E+18,NA,"<a href=\http://liberalforum.net\"" rel=\""nofollow\"">Liberal Forum Political Chat</a>""",Liberal_Forum,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
78,"#muse @thatkookie #shot at my office........ #georgechemas_photography #nofilterneeded @ Weehawken, New Jersey",FALSE,0,NA,3/4/19 15:57,FALSE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",GeorgeChemas,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
79,@djsliming @kooSebor @Pure957fm I love my country Ghana I luv #celeb beefs @shattawalegh x @popeskinnyGH Am y…,FALSE,5,djsliming,3/4/19 15:50,TRUE,NA,1.10E+18,255410606,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",NanaYawAnsong1,4,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
80,@presidentaz 📢PLS #SHUT #DOWN SUCH INSUITABLE #CHANNEL THAT #WORK AGAINS THE #GOVERNMENT TH…,FALSE,5,presidentaz,3/4/19 15:46,TRUE,NA,1.10E+18,143742312,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",renders_carla,11,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
81,My back to #Long #Island #Sound and then that DAMN HOT TEACHER!! with the #RED #Hair. Sorry I can do this today. My…,FALSE,0,FetishSix,3/4/19 14:47,TRUE,1.10E+18,1.10E+18,16812077,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",FetishSix,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
82,Here @ Village Green... 🍻😁✌ #Shot #AfterDuty #AntokMuch,FALSE,0,NA,3/4/19 14:36,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Dodz19786814,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
