no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,
42,Next question. Is Uric acid and lactic acid relationship. Studies please. #thesisquestions have. Not been active…,FALSE,0,NA,3/7/19 22:59,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",JustCanadianGal,0,FALSE,FALSE,NA,NA,,
43,Managing Diabetes During Cold and Flu Season; What You Need to Know Now to Stay Safe - Active Diabetics #diabetes…,FALSE,0,NA,3/7/19 22:44,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",JoyWesolowski,0,FALSE,FALSE,NA,NA,,
44,#Flu #vaccination during pregnancy does not cause miscarriage:,FALSE,0,NA,3/7/19 22:40,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",medicalbag,0,FALSE,FALSE,NA,NA,,
45,NEWS SCAN: Saudi #MERS cases; #YellowFever in South America; Absenteeism and illness; #Flu vaccine and heart attack…,FALSE,0,NA,3/7/19 22:38,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",CIDRAP,0,FALSE,FALSE,NA,NA,,
46,"@C_Mulroney I don't need #flushot because I have \La Technique\"" to fight the #flu with success.""",FALSE,0,C_Mulroney,3/7/19 22:34,FALSE,1.06E+18,1.10E+18,68711727,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",Flu_Killer,0,FALSE,FALSE,NA,NA,,
47,Done! Closed my Amazon acct. Am no longer @amazon for censoring #books films Pharma doesn't like. Drs nurses sellou…,FALSE,13,NA,3/7/19 22:25,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",CollChris,4,FALSE,FALSE,NA,NA,,
48,Day 6 of parenting a #sick kid with a #flu is not inspiring a mom of the year performance. #momlife #sendhelp #wine,FALSE,9,NA,3/7/19 22:12,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",amandakfried,1,FALSE,FALSE,NA,NA,,
49,Showing cold or flu symptoms? Drop by the #flu study kiosk in the @UW Health Sciences Building lobby and get your n…,FALSE,1,NA,3/7/19 21:45,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",uwsph,1,FALSE,FALSE,NA,NA,,
50,.@IDSAinfo paper on study in Chinese hospital adds to previous research indicating #influenza A is more severe than…,FALSE,0,NA,3/7/19 21:40,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",Contagion_Live,0,FALSE,FALSE,NA,NA,,
51,Best ways to stay healthy during #flu season,FALSE,0,NA,3/7/19 21:35,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",SterileSpace,0,FALSE,FALSE,NA,NA,,
52,"According to @CDCgov #flu statistics for Week 8 (week ending February 23), this season is still elevated with “wide…",FALSE,0,NA,3/7/19 21:30,TRUE,NA,1.10E+18,NA,"<a href=\http://www.salesforce.com\"" rel=\""nofollow\"">Salesforce - Social Studio</a>""",biomerieux_inc,0,FALSE,FALSE,NA,NA,,
53,"Scientists Resume Efforts To Create Deadly #Flu #Virus, With #US Government's Blessing, Forbes, March 4, 2019 ://ww…",FALSE,2,NA,3/7/19 21:26,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",SilenceNotGold,0,FALSE,FALSE,NA,NA,,
54,“It’s very unfortunate losing any young child to something that could have been preventable but I think this should…,FALSE,0,NA,3/7/19 21:24,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",JackieWSYX6,0,FALSE,FALSE,NA,NA,,
55,"Scientists Resume Efforts To Create Deadly #Flu #Virus, With US Government's Blessing via @forbes",FALSE,0,NA,3/7/19 21:14,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",SilenceNotGold,0,FALSE,FALSE,NA,NA,,
56,"• The #flu has killed 3 more people in #Connecticut • A woman has died after smoking in bed in #Bloomfield, accordi…",FALSE,2,NA,3/7/19 21:14,TRUE,NA,1.10E+18,NA,"<a href=\https://studio.twitter.com\"" rel=\""nofollow\"">Twitter Media Studio</a>""",WTNH,0,FALSE,FALSE,NA,NA,,
57,Another flu strain is on the rise in the area. This one tends to affect seniors the most. It's not too late to get…,FALSE,3,NA,3/7/19 21:06,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",vcchealthcare,0,FALSE,FALSE,NA,NA,,
58,Flu shots a necessity? Calls for a 2nd free flu shot... I’ll be crossing #LIVE to @tanyadendrinos for the latest ad…,FALSE,17,NA,3/7/19 21:01,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",jaynieseal,0,FALSE,FALSE,NA,NA,,
59,Did you get a flu vaccine this year? Experts say it's not too late! #flu,FALSE,0,NA,3/7/19 21:00,FALSE,NA,1.10E+18,NA,"<a href=\http://www.socialnewsdesk.com\"" rel=\""nofollow\"">SocialNewsDesk</a>""",WWAY,0,FALSE,FALSE,NA,NA,,
60,"Sorry everyone, James won’t be streaming tonight, he had vaccinations yesterday and now has flu/polio/typhoid, he’l…",FALSE,1,NA,3/7/19 20:57,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",jamesandthatguy,1,FALSE,FALSE,NA,NA,,
61,The Occupational Safety &amp; Health Administration Announced Multiple Safety Measures in the Event of a Flu Pandemic a…,FALSE,0,NA,3/7/19 20:57,TRUE,NA,1.10E+18,NA,"<a href=\https://coschedule.com\"" rel=\""nofollow\"">CoSchedule</a>""",AtlanticUVCorp,0,FALSE,FALSE,NA,NA,,
62,Heart disease is among the most common chronic conditions in adults hospitalized with #flu. If you have heart disea…,FALSE,5,NA,3/7/19 20:55,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",CDCFlu,10,FALSE,FALSE,NA,NA,,
63,"At this time of year many of us, regardless of age, can get the #flu. Unfortunately for #seniors the flu can be par…",FALSE,0,NA,3/7/19 20:52,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",ElderCareExpert,0,FALSE,FALSE,NA,NA,,
64,My first thought about this article: Agent Orange would be more than happy to use this against the people of the U.…,FALSE,0,NA,3/7/19 20:29,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Smitten_224,0,FALSE,FALSE,NA,NA,,
66,"Dearest Sara, The winter here in Virginia is cold. Our supply of flu medicine and tissues are low, and we have res…",FALSE,2,NA,3/7/19 20:23,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",ShootingStarSol,0,FALSE,FALSE,NA,NA,,
67,Front page of The Blade (@toledonews) newspaper today! Glad to see them using our electrostatic sprayers for better…,FALSE,3,NA,3/7/19 20:21,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",VictoryInnovCo,1,FALSE,FALSE,NA,NA,NA,
68,"Got flu? While there's no \cure\"" for #flu"," there are antiviral medications that can help reduce symptoms and length…""",FALSE,2,NA,3/7/19 20:16,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,0,FALSE,FALSE,NA,,
69,How flu season can affect hospital finances #flu #influenza #revenuecycle #revcycle,FALSE,0,NA,3/7/19 20:03,FALSE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",Change_HC,0,FALSE,FALSE,NA,NA,,
70,Stay Well With Vitamin C and Hemohim #fighter #flu #atomy #Hemohim,FALSE,0,NA,3/7/19 20:00,FALSE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",NDefenseStore,0,FALSE,FALSE,NA,NA,,
71,Body is fighting the influenza virus. I dont want to leave the house and risk starting the zombie apocalypse but I…,FALSE,0,NA,3/7/19 19:57,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",WriteDWalker,0,FALSE,FALSE,NA,NA,,
72,"Per CDC, the worst of #flu is still to come! #Ninjacof is helping you fight back with a line of products to relieve…",FALSE,0,NA,3/7/19 19:46,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",TheCenturionWay,0,FALSE,FALSE,NA,NA,,
73,Ireland: Death toll from #flu rises to 54,FALSE,0,NA,3/7/19 19:45,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",isirvAVG,0,FALSE,FALSE,NA,NA,,
74,#MedicareForAll bill is a winner #Bernie2020 #MSM #maga #bernieSanders2020 #healthcare #millennials #BLM #Latinos…,FALSE,0,NA,3/7/19 19:41,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",astrid3121,0,FALSE,FALSE,NA,NA,,
