no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,,,,,,
46,New insights into #influenza A infection and its spread via @nature #flu #virus,FALSE,0,NA,3/5/19 21:37,FALSE,NA,1.10E+18,NA,"<a href=\http://www.news-medical.net/\"" rel=\""nofollow\"">News Medical</a>""",NewsMedical,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
47,"Just finished binge watching @TheFostersTV because #flu and y’all, crying and the flu do not go together.",FALSE,0,NA,3/5/19 21:31,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",blannio,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
48,Who gets a flu shot and still gets the flu? THIS GUY! Poor Peyton has Type A flu and has to stay home from school t…,FALSE,0,NA,3/5/19 21:30,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",AdventuresAP,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
49,"When flu-like symptoms arise, immediate action can reduce your risk of becoming ill. Call us to schedule a same-day…",FALSE,0,NA,3/5/19 21:30,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",FamilyMedTx,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
50,"#InfectiousDiseases A-Z: If you skipped getting an annual #FluShot, @DrPritishTosh says it's not too late! Nearly 2…",FALSE,16,NA,3/5/19 21:28,TRUE,NA,1.10E+18,NA,"<a href=\https://www.sprinklr.com\"" rel=\""nofollow\"">Sprinklr</a>""",MayoClinic,14,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
51,Also negative: This graph shows confirmed #flu cases over the last 8 seasons in PA. Last season was the outsize mon…,FALSE,0,NA,3/5/19 21:15,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",HStaufferLNP,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
52,The weekly #flu report provides updated numbers for St. Charles County during the 2018-2019 influenza season. To vi…,FALSE,0,NA,3/5/19 21:13,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",SCCHealth,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
53,"Negative: This week brought 11 #flu deaths statewide, more than any others this season (last 2 weeks had 10 apiece)…",FALSE,0,NA,3/5/19 21:08,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",HStaufferLNP,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
54,#emergency signs of #flu in children: Fast/troubled breathing Bluish skin Not drinking enough Not waking up/interac…,FALSE,0,NA,3/5/19 21:06,TRUE,NA,1.10E+18,NA,"<a href=\https://app.agorapulse.com\"" rel=\""nofollow\"">AgoraPulse Manager</a>""",BeaumontER,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
55,"Positive: Number of new confirmed #flu cases is down from last week's highs of 189 in #LancasterCounty and 8,337 ac…",FALSE,0,NA,3/5/19 21:05,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",HStaufferLNP,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
